"","Entry","BLUP","BLUE","Location"
"1","1",19.992485844146,20.3689574392022,"BEJA"
"2","2",18.0238156459326,18.0689574392022,"BEJA"
"3","3",17.2962636161581,17.2189574392022,"BEJA"
"4","4",18.0675684246076,18.1340810586153,"BEJA"
"5","5",16.9966833686039,16.8689574392022,"BEJA"
"6","6",18.1950043588207,18.2689574392022,"BEJA"
"7","7",17.9391768899415,17.9840810586153,"BEJA"
"8","8",19.0509479232613,19.2689574392022,"BEJA"
"9","9",18.5383373850499,18.6840810586153,"BEJA"
"10","10",18.0247712463856,18.0840810586153,"BEJA"
"11","11",17.5530466854903,17.5189574392022,"BEJA"
"12","12",18.8379176326041,19.0340810586153,"BEJA"
"13","13",17.816225226392,17.7659189413848,"BEJA"
"14","14",17.6450365135039,17.5659189413847,"BEJA"
"15","15",19.1438933517279,19.3310425607978,"BEJA"
"16","16",17.9446167610581,17.9159189413848,"BEJA"
"17","17",16.2336852326298,15.9310425607978,"BEJA"
"18","18",16.6179042361752,16.3659189413847,"BEJA"
"19","19",17.817180826845,17.7810425607978,"BEJA"
"20","20",17.6459921139568,17.5810425607978,"BEJA"
"21","21",17.9874139392801,17.9659189413847,"BEJA"
"22","22",17.2180203317365,17.0810425607978,"BEJA"
"23","23",17.0896287970704,16.9310425607978,"BEJA"
"24","24",17.7743836486229,17.7310425607978,"BEJA"
"25","1",19.3433426112383,19.7232075789676,"CHBIKA"
"26","2",17.2876289203478,17.2232075789676,"CHBIKA"
"27","3",17.4109717418012,17.3732075789676,"CHBIKA"
"28","4",18.4332246532768,18.7123899743685,"CHBIKA"
"29","5",17.6987716585259,17.7232075789676,"CHBIKA"
"30","6",18.4799428610643,18.6732075789676,"CHBIKA"
"31","7",17.5027613082494,17.4742013131454,"CHBIKA"
"32","8",17.5754288370725,17.5732075789676,"CHBIKA"
"33","9",18.6539609751481,18.8742013131454,"CHBIKA"
"34","10",17.9550183202453,18.0242013131454,"CHBIKA"
"35","11",16.4653434439916,16.2232075789676,"CHBIKA"
"36","12",19.1473322609618,19.4742013131454,"CHBIKA"
"37","13",17.9228822689553,17.9257986868546,"CHBIKA"
"38","14",17.6761966260484,17.6257986868546,"CHBIKA"
"39","15",18.8780715855775,19.0767924210325,"CHBIKA"
"40","16",17.7173108998662,17.6757986868546,"CHBIKA"
"41","17",15.9178438706952,15.4767924210325,"CHBIKA"
"42","18",16.8127968758744,16.5757986868546,"CHBIKA"
"43","19",16.2467580612376,15.8767924210325,"CHBIKA"
"44","20",18.1791289306747,18.2267924210325,"CHBIKA"
"45","21",19.0329676620362,19.2757986868546,"CHBIKA"
"46","22",17.2746149066829,17.1267924210325,"CHBIKA"
"47","23",16.8634721685048,16.6267924210325,"CHBIKA"
"48","24",18.0557861092213,18.0767924210325,"CHBIKA"
"49","1",16.5138006049221,16.8600270579152,"KEF"
"50","2",14.9996051735052,15.0600270579152,"KEF"
"51","3",13.9480805683546,13.8100270579152,"KEF"
"52","4",15.1256960610432,15.1730643436933,"KEF"
"53","5",14.3266294262088,14.2600270579152,"KEF"
"54","6",15.2940320629474,15.4100270579152,"KEF"
"55","7",14.6630252347769,14.6230643436933,"KEF"
"56","8",15.3781540313594,15.5100270579152,"KEF"
"57","9",15.7566108241335,15.9230643436933,"KEF"
"58","10",14.9995131084251,15.0230643436933,"KEF"
"59","11",14.5369343472389,14.5100270579152,"KEF"
"60","12",15.6724888557215,15.8230643436933,"KEF"
"61","13",14.7676880924618,14.7269356563068,"KEF"
"62","14",16.0295176186425,16.2269356563068,"KEF"
"63","15",15.6929376799142,15.7899729420848,"KEF"
"64","16",15.5668467923763,15.6769356563068,"KEF"
"65","17",14.3049252011154,14.1399729420848,"KEF"
"66","18",13.1273097084268,12.7769356563068,"KEF"
"67","19",14.2628642169094,14.0899729420848,"KEF"
"68","20",15.356449806266,15.3899729420848,"KEF"
"69","21",15.0200539976979,15.0269356563068,"KEF"
"70","22",14.3049252011154,14.1399729420848,"KEF"
"71","23",14.3890471695275,14.2399729420848,"KEF"
"72","24",14.2628642169094,14.0899729420848,"KEF"
"73","1",18.0513661520633,18.3,"OM"
"74","2",16.6314105534253,16.65,"OM"
"75","3",16.3302078506839,16.3,"OM"
"76","4",16.7174684684943,16.75,"OM"
"77","5",15.5126576575287,15.35,"OM"
"78","6",16.8895842986322,16.95,"OM"
"79","7",16.4592947232873,16.45,"OM"
"80","8",16.8895842986322,16.95,"OM"
"81","9",17.5350186616495,17.7,"OM"
"82","10",17.1907870013736,17.3,"OM"
"83","11",16.1150630630115,16.05,"OM"
"84","12",17.0617001287701,17.15,"OM"
"85","13",16.5023236808218,16.5,"OM"
"86","14",17.0617001287701,17.15,"OM"
"87","15",18.3955978123392,18.7,"OM"
"88","16",16.8465553410977,16.9,"OM"
"89","17",14.652078506839,14.35,"OM"
"90","18",15.7708314027356,15.65,"OM"
"91","19",16.2871788931494,16.25,"OM"
"92","20",16.2871788931494,16.25,"OM"
"93","21",16.1150630630115,16.05,"OM"
"94","22",15.5987155725976,15.45,"OM"
"95","23",15.899918275339,15.8,"OM"
"96","24",15.5987155725977,15.45,"OM"
